names,years,num_trips
E 53 St & Lexington Ave,2016,27254
E 53 St & Madison Ave,2013,13482
E 53 St & Madison Ave,2014,14987
E 53 St & Madison Ave,2015,19264
E 53 St & Madison Ave,2016,18708
E 55 St & 2 Ave,2013,10516
E 55 St & 2 Ave,2014,14393
E 55 St & 2 Ave,2015,19397
E 55 St & 2 Ave,2016,21361
E 55 St & 3 Ave,2015,8680
E 55 St & 3 Ave,2016,19284
E 55 St & Lexington Ave,2013,7027
E 55 St & Lexington Ave,2014,12750
E 55 St & Lexington Ave,2015,15987
E 55 St & Lexington Ave,2016,13746
E 56 St & 3 Ave,2013,11660
E 56 St & 3 Ave,2014,16066
E 56 St & 3 Ave,2015,9156
E 56 St & Madison Ave,2013,10185
E 56 St & Madison Ave,2014,17024
E 56 St & Madison Ave,2015,21412
E 56 St & Madison Ave,2016,17091
E 58 St & 1 Ave,2016,9014
E 58 St & 3 Ave,2013,21278
E 58 St & 3 Ave,2014,33254
E 58 St & 3 Ave,2015,36061
E 58 St & 3 Ave,2016,31050
E 59 St & Madison Ave,2015,6912
E 59 St & Madison Ave,2016,16659
E 59 St & Sutton Pl,2013,9349
E 59 St & Sutton Pl,2014,16461
E 59 St & Sutton Pl,2015,6323
E 6 St & Avenue B,2013,18951
E 6 St & Avenue B,2014,26373
E 6 St & Avenue B,2015,27481
E 6 St & Avenue B,2016,27446
E 6 St & Avenue D,2013,6613
E 6 St & Avenue D,2014,12169
E 6 St & Avenue D,2015,14670
E 6 St & Avenue D,2016,12985
E 60 St & York Ave,2015,9799
E 60 St & York Ave,2016,7655
E 61 St & Park Ave,2016,5340
E 65 St & 2 Ave,2016,8
E 66 St & Madison Ave,2016,711
E 67 St & Lexington Ave,2015,2618
E 67 St & Park Ave,2015,6484
E 67 St & Park Ave,2016,13659
E 68 St & 3 Ave,2016,5739
E 68 St & Madison Ave,2016,719
E 7 St & Avenue A,2013,18677
E 7 St & Avenue A,2014,35633
E 7 St & Avenue A,2015,50335
E 7 St & Avenue A,2016,39078
E 71 St & 2 Ave,2015,427
E 71 St & 2 Ave,2016,10395
E 72 St & Park Ave,2015,6978
E 72 St & Park Ave,2016,14229
E 72 St & York Ave,2015,11371
E 72 St & York Ave,2016,27035
E 74 St & 1 Ave,2016,524
E 75 St & 3 Ave,2015,7522
E 75 St & 3 Ave,2016,15712
E 76 St & Park Ave,2016,1112
E 77 St & 3 Ave,2015,2063
E 77 St & 3 Ave,2016,10915
E 77 St & Park Ave,2015,274
E 77 St & Park Ave,2016,6454
E 80 St & 2 Ave,2015,473
E 80 St & 2 Ave,2016,10037
E 81 St & 3 Ave,2015,4184
E 81 St & 3 Ave,2016,11265
E 81 St & Park Ave,2015,4288
E 81 St & Park Ave,2016,6365
E 81 St & York Ave,2015,1904
E 81 St & York Ave,2016,13245
E 82 St & 2 Ave,2015,3107
E 84 St & 1 Ave,2015,5340
E 84 St & 1 Ave,2016,15108
E 84 St & Park Ave,2015,9848
E 84 St & Park Ave,2016,25031
E 85 St & 3 Ave,2015,9006
E 85 St & 3 Ave,2016,28746
E 85 St & York Ave,2015,6735
E 85 St & York Ave,2016,14163
E 88 St & 1 Ave,2016,3294
E 88 St & Park Ave,2016,1898
E 89 St & 3 Ave,2016,3383
E 89 St & York Ave,2016,2311
E 9 St & Avenue C,2013,15569
E 9 St & Avenue C,2014,26059
E 9 St & Avenue C,2015,24496
E 9 St & Avenue C,2016,26154
E 91 St & 2 Ave,2016,3371
E 91 St & Park Ave,2016,2176
E 95 St & 3 Ave,2016,2082
E 97 St & 3 Ave,2016,821
E 97 St & Madison Ave,2016,3075
E.T. Bike-In Movie Valet Station,2015,315
East End Ave & E 86 St,2015,1796
East End Ave & E 86 St,2016,7718
Elizabeth St & Hester St,2013,18271
Elizabeth St & Hester St,2014,27674
Elizabeth St & Hester St,2015,31308
Elizabeth St & Hester St,2016,31545
Emerson Pl & Myrtle Ave,2013,3325
Emerson Pl & Myrtle Ave,2014,5132
Emerson Pl & Myrtle Ave,2015,6431
Emerson Pl & Myrtle Ave,2016,5969
FDR Drive & E 35 St,2013,15129
FDR Drive & E 35 St,2014,24600
FDR Drive & E 35 St,2015,30839
FDR Drive & E 35 St,2016,27129
Flushing Ave & Carlton Ave,2013,3881
Flushing Ave & Carlton Ave,2014,5531
Flushing Ave & Carlton Ave,2015,2429
Forsyth St & Broome St,2013,17574
Forsyth St & Broome St,2014,30521
Forsyth St & Broome St,2015,35288
Forsyth St & Broome St,2016,33140
Forsyth St & Canal St,2013,12597
Forsyth St & Canal St,2014,20096
Forsyth St & Canal St,2015,23816
Forsyth St & Canal St,2016,23217
Franklin Ave & Myrtle Ave,2013,1481
Franklin Ave & Myrtle Ave,2014,2883
Franklin Ave & Myrtle Ave,2015,2893
Franklin Ave & Myrtle Ave,2016,3074
Franklin St & Dupont St,2015,2684
Franklin St & Dupont St,2016,5969
Franklin St & W Broadway,2013,17516
Franklin St & W Broadway,2014,19944
Franklin St & W Broadway,2015,22808
Franklin St & W Broadway,2016,20713
Front St & Gold St,2013,3880
Front St & Gold St,2014,5537
Front St & Gold St,2015,5955
Front St & Gold St,2016,6110
Front St & Maiden Ln,2013,11069
Front St & Maiden Ln,2014,16110
Front St & Maiden Ln,2015,17725
Front St & Maiden Ln,2016,16884
Front St & Washington St,2013,10569
Front St & Washington St,2014,14721
Front St & Washington St,2015,15654
Front St & Washington St,2016,16373
Frost St & Meeker St,2015,1731
Frost St & Meeker St,2016,3398
Fulton St & Broadway,2015,8460
Fulton St & Broadway,2016,18443
Fulton St & Clermont Ave,2013,2533
Fulton St & Clermont Ave,2014,4184
Fulton St & Clermont Ave,2015,6829
Fulton St & Clermont Ave,2016,6200
Fulton St & Grand Ave,2013,3723
Fulton St & Grand Ave,2014,5787
Fulton St & Grand Ave,2015,7002
Fulton St & Grand Ave,2016,5635
Fulton St & Rockwell Pl,2013,10993
Fulton St & Rockwell Pl,2014,6683
Fulton St & Rockwell Pl,2015,7202
Fulton St & Rockwell Pl,2016,6266
Fulton St & Utica Ave,2015,1207
Fulton St & Utica Ave,2016,3061
Fulton St & Washington Ave,2015,4645
Fulton St & Washington Ave,2016,11272
Fulton St & Waverly Ave,2013,5593
Fulton St & Waverly Ave,2014,7825
Fulton St & Waverly Ave,2015,454
Fulton St & William St,2013,12283
Fulton St & William St,2014,20018
Fulton St & William St,2015,20665
Fulton St & William St,2016,17828
Gallatin Pl & Livingston St,2013,2397
Gallatin Pl & Livingston St,2014,3920
Gallatin Pl & Livingston St,2015,4355
Garfield Pl & 8 Ave,2016,239
Graham Ave & Conselyea St,2015,5182
Graham Ave & Conselyea St,2016,10837
Graham Ave & Grand St,2015,1983
Graham Ave & Grand St,2016,4432
Graham Ave & Herbert St,2015,1326
Graham Ave & Herbert St,2016,3757
Graham Ave & Withers St,2015,1861
Graham Ave & Withers St,2016,4488
Grand Army Plaza & Central Park S,2013,26786
Grand Army Plaza & Central Park S,2014,42058
Grand Army Plaza & Central Park S,2015,52030
Grand Army Plaza & Central Park S,2016,42941
Grand Army Plaza & Plaza St West,2016,1182
Grand St & Elizabeth St,2016,25
Grand St & Greene St,2013,12971
Grand St & Greene St,2014,22778
Grand St & Greene St,2015,27105
Grand St & Greene St,2016,23563
Grand St & Havemeyer St,2013,5216
Grand St & Havemeyer St,2014,6570
Grand St & Havemeyer St,2015,11152
Grand St & Havemeyer St,2016,10749
Great Jones St,2013,22931
Great Jones St,2014,40917
Great Jones St,2015,32318
Great Jones St,2016,49123
Greene Ave & Nostrand Ave,2015,921
Greene Ave & Nostrand Ave,2016,3037
Greene Ave & Throop Ave,2015,1204
Greene Ave & Throop Ave,2016,2379
Greenpoint Ave & Manhattan Ave,2015,4171
Greenpoint Ave & Manhattan Ave,2016,9690
Greenwich Ave & 8 Ave,2013,32420
Greenwich Ave & 8 Ave,2014,55650
Greenwich Ave & 8 Ave,2015,67950
Greenwich Ave & 8 Ave,2016,62992
Greenwich Ave & Charles St,2013,14185
Greenwich Ave & Charles St,2014,28529
Greenwich Ave & Charles St,2015,34237
Greenwich Ave & Charles St,2016,33611
Greenwich St & Hubert St,2016,28
Greenwich St & N Moore St,2013,20224
Greenwich St & N Moore St,2014,31745
Greenwich St & N Moore St,2015,36330
Greenwich St & N Moore St,2016,18147
Greenwich St & North Moore St,2016,13384
Greenwich St & W Houston St,2015,27691
Greenwich St & W Houston St,2016,40717
Greenwich St & Warren St,2013,23623
Greenwich St & Warren St,2014,40880
Greenwich St & Warren St,2015,45764
Greenwich St & Warren St,2016,36788
Halsey St & Tompkins Ave,2015,1235
Halsey St & Tompkins Ave,2016,3174
Hancock St & Bedford Ave,2013,2036
Hancock St & Bedford Ave,2014,3691
Hancock St & Bedford Ave,2015,2955
Hancock St & Bedford Ave,2016,3691
Hanover Pl & Livingston St,2013,1410
Hanover Pl & Livingston St,2014,1975
Hanover Pl & Livingston St,2015,2283
Hanson Pl & Ashland Pl,2016,2734
Hanson Pl & St Felix St,2015,6755
Hanson Pl & St Felix St,2016,15253
Harrison St & Hudson St,2013,9331
Harrison St & Hudson St,2014,12625
Harrison St & Hudson St,2015,15779
Harrison St & Hudson St,2016,14775
Henry St & Atlantic Ave,2013,8674
Henry St & Atlantic Ave,2014,10752
Henry St & Atlantic Ave,2015,12171
Henry St & Atlantic Ave,2016,11116
Henry St & Bay St,2016,256
Henry St & Degraw St,2016,1426
Henry St & Grand St,2013,7152
Henry St & Grand St,2014,21476
Henry St & Grand St,2015,18300
Henry St & Grand St,2016,20145
Henry St & Poplar St,2013,3550
Henry St & Poplar St,2014,6399
Henry St & Poplar St,2015,3780
Henry St & Poplar St,2016,5305
Henry St & W 9 St,2016,166
Hicks St & Montague St,2013,7474
Hicks St & Montague St,2014,12090
Hicks St & Montague St,2015,10503
Hicks St & Montague St,2016,10523
Hope St & Union Ave,2015,1901
Hope St & Union Ave,2016,7806
Howard St & Centre St,2013,18642
Howard St & Centre St,2014,26087
Howard St & Centre St,2015,30061
Howard St & Centre St,2016,27219
Hoyt St & Warren St,2016,427
Hudson St & Reade St,2013,13253
Hudson St & Reade St,2014,19336
Hudson St & Reade St,2015,22611
Hudson St & Reade St,2016,19605
Humboldt St & Varet St,2015,1410
Humboldt St & Varet St,2016,4030
Huron St & Franklin St,2015,1408
Huron St & Franklin St,2016,8980
India St & East River,2015,1198
India St & East River,2016,2749
India St & Manhattan Ave,2015,3734
India St & Manhattan Ave,2016,8170
Jackson Ave & 46 Rd,2015,1788
Jackson Ave & 46 Rd,2016,3257
Jay St & Tech Pl,2013,3892
Jay St & Tech Pl,2014,11440
Jay St & Tech Pl,2015,13141
Jay St & Tech Pl,2016,9288
John St & William St,2013,11353
John St & William St,2014,17809
John St & William St,2015,17480
John St & William St,2016,15395
Johnson St & Gold St,2013,5655
Johnson St & Gold St,2014,8807
Johnson St & Gold St,2015,10735
Johnson St & Gold St,2016,9347
Joralemon St & Adams St,2013,10963
Joralemon St & Adams St,2014,15947
Joralemon St & Adams St,2015,1448
Kane St & Clinton St,2016,1004
Kent Ave & N 7 St,2015,10609
Kent Ave & N 7 St,2016,23394
Kent Ave & S 11 St,2013,3297
Kent Ave & S 11 St,2014,4921
Kent Ave & S 11 St,2015,8964
Kent Ave & S 11 St,2016,11234
KentAve&N7 St,2016,1433
Kingston Ave & Herkimer St,2015,712
Kingston Ave & Herkimer St,2016,1918
Kiosk in a box Deployment,2016,7
Kiosk in a box Motivate,2016,141
Kosciuszko St & Nostrand Ave,2015,872
Kosciuszko St & Nostrand Ave,2016,2438
Kosciuszko St & Tompkins Ave,2015,1013
Kosciuszko St & Tompkins Ave,2016,3266
LaGuardia Pl & W 3 St,2013,22879
LaGuardia Pl & W 3 St,2014,36971
LaGuardia Pl & W 3 St,2015,42370
LaGuardia Pl & W 3 St,2016,42047
Lafayette Ave & Classon Ave,2013,3423
Lafayette Ave & Classon Ave,2014,4549
Lafayette Ave & Classon Ave,2015,5737
Lafayette Ave & Classon Ave,2016,6636
Lafayette Ave & Fort Greene Pl,2013,5425
Lafayette Ave & Fort Greene Pl,2014,7925
Lafayette Ave & Fort Greene Pl,2015,8236
Lafayette Ave & Fort Greene Pl,2016,7894
Lafayette Ave & St James Pl,2013,3271
Lafayette Ave & St James Pl,2014,4432
Lafayette Ave & St James Pl,2015,5810
Lafayette Ave & St James Pl,2016,7133
Lafayette St & E 8 St,2013,46734
Lafayette St & E 8 St,2014,86692
Lafayette St & E 8 St,2015,95890
Lafayette St & E 8 St,2016,47744
Lafayette St & Jersey St,2013,9920
Lafayette St & Jersey St,2014,44081
Lafayette St & Jersey St,2015,60945
Lafayette St & Jersey St,2016,37417
Lafayette St & Jersey St N,2016,4249
Laight St & Hudson St,2013,5108
Laight St & Hudson St,2014,7617
Laight St & Hudson St,2015,9155
Laight St & Hudson St,2016,8574
Lawrence St & Willoughby St,2013,26320
Lawrence St & Willoughby St,2014,13521
Lawrence St & Willoughby St,2015,13516
Lawrence St & Willoughby St,2016,16293
Lefferts Pl & Franklin Ave,2013,3793
Lefferts Pl & Franklin Ave,2014,5234
Lefferts Pl & Franklin Ave,2015,6265
Lefferts Pl & Franklin Ave,2016,6644
Leonard St & Bayard St,2015,2008
Leonard St & Bayard St,2016,4330
Leonard St & Boerum St,2015,1077
Leonard St & Boerum St,2016,2899
Leonard St & Church St,2014,13746
Leonard St & Church St,2015,19910
Leonard St & Church St,2016,19814
Leonard St & Grand St,2015,2563
Leonard St & Grand St,2016,5778
Leonard St & Manhattan Ave,2015,544
Leonard St & Manhattan Ave,2016,3061
Leonard St & Meeker Ave,2015,364
Leonard St & Meeker Ave,2016,2192
Lewis Ave & Decatur St,2015,682
Lewis Ave & Decatur St,2016,1603
Lewis Ave & Kosciuszko St,2015,1100
Lewis Ave & Kosciuszko St,2016,2973
Lewis Ave & Madison St,2015,1633
Lewis Ave & Madison St,2016,4517
Lexington Ave & Classon Ave,2013,2999
Lexington Ave & Classon Ave,2014,4005
Lexington Ave & Classon Ave,2015,4908
Lexington Ave & Classon Ave,2016,5189
Lexington Ave & E 24 St,2013,25181
Lexington Ave & E 24 St,2014,39459
Lexington Ave & E 24 St,2015,59505
Lexington Ave & E 24 St,2016,46627
Lexington Ave & E 26 St,2013,24581
Lexington Ave & E 26 St,2014,41648
Lexington Ave & E 26 St,2015,1065
Lexington Ave & E 29 St,2015,17073
Lexington Ave & E 29 St,2016,33871
Lexington Ave & E 63 St,2015,3501
Lexington Ave & E 63 St,2016,16875
Liberty St & Broadway,2013,18768
Liberty St & Broadway,2014,27897
Liberty St & Broadway,2015,27570
Liberty St & Broadway,2016,27972
Lispenard St & Broadway,2013,13837
Lispenard St & Broadway,2014,22545
Lispenard St & Broadway,2015,26696
Lispenard St & Broadway,2016,22538
Little West St & 1 Pl,2013,9561
Little West St & 1 Pl,2014,21491
Little West St & 1 Pl,2015,29600
Little West St & 1 Pl,2016,38104
Lorimer St & Broadway,2015,1150
Lorimer St & Broadway,2016,2549
MacDougal St & Prince St,2013,28836
MacDougal St & Prince St,2014,41063
MacDougal St & Prince St,2015,43468
MacDougal St & Prince St,2016,44568
MacDougal St & Washington Sq,2013,15287
MacDougal St & Washington Sq,2014,24349
MacDougal St & Washington Sq,2015,30680
MacDougal St & Washington Sq,2016,26560
Macon St & Nostrand Ave,2013,2722
Macon St & Nostrand Ave,2014,2790
Macon St & Nostrand Ave,2015,6437
Macon St & Nostrand Ave,2016,8372
Madison Ave & E 82 St,2016,34
Madison Ave & E 99 St,2016,1512
Madison St & Clinton St,2013,6855
Madison St & Clinton St,2014,12891
Madison St & Clinton St,2015,14384
Madison St & Clinton St,2016,13395
Madison St & Montgomery St,2013,7484
Madison St & Montgomery St,2014,13185
Madison St & Montgomery St,2015,11637
Madison St & Montgomery St,2016,9780
Maiden Ln & Pearl St,2013,14899
Maiden Ln & Pearl St,2014,19392
Maiden Ln & Pearl St,2015,18909
Maiden Ln & Pearl St,2016,16525
Marcus Garvey Blvd & Macon St,2015,772
Marcus Garvey Blvd & Macon St,2016,2456
Marcy Ave & Lafayette Ave,2015,523
Marcy Ave & Lafayette Ave,2016,1910
Marcy Ave & MacDonough St,2015,522
Marcy Ave & MacDonough St,2016,394
Market St & Cherry St,2013,6189
Market St & Cherry St,2014,9844
Market St & Cherry St,2015,11952
Market St & Cherry St,2016,11471
McGuinness Blvd & Eagle St,2015,3049
McGuinness Blvd & Eagle St,2016,6966
McKibbin St & Manhattan Ave,2015,864
McKibbin St & Manhattan Ave,2016,2550
Mercer St & Bleecker St,2013,24794
Mercer St & Bleecker St,2014,41561
Mercer St & Bleecker St,2015,46300
Mercer St & Bleecker St,2016,21566
Mercer St & Bleecker St S,2016,75
Mercer St & Spring St,2013,16670
Mercer St & Spring St,2014,24990
Mercer St & Spring St,2015,26314
Mercer St & Spring St,2016,23924
Meserole Ave & Manhattan Ave,2015,3877
Meserole Ave & Manhattan Ave,2016,9651
Metropolitan Ave & Bedford Ave,2013,11597
Metropolitan Ave & Bedford Ave,2014,17176
Metropolitan Ave & Bedford Ave,2015,17872
Metropolitan Ave & Bedford Ave,2016,17955
Metropolitan Ave & Meeker Ave,2015,4096
Metropolitan Ave & Meeker Ave,2016,9951
Milton St & Franklin St,2015,5330
Milton St & Franklin St,2016,15674
Mobile 01,2015,1039
Monroe St & Bedford Ave,2013,2293
Monroe St & Bedford Ave,2014,4550
Monroe St & Bedford Ave,2015,5510
Monroe St & Bedford Ave,2016,5108
Monroe St & Classon Ave,2013,1702
Monroe St & Classon Ave,2014,2195
Monroe St & Classon Ave,2015,2808
Monroe St & Classon Ave,2016,3289
Monroe St & Tompkins Ave,2015,13
Monroe St & Tompkins Ave,2016,3026
Montague St & Clinton St,2013,5813
Montague St & Clinton St,2014,486
Montague St & Clinton St,2016,8420
Montrose Ave & Bushwick Ave,2015,3291
Montrose Ave & Bushwick Ave,2016,8652
Mott St & Prince St,2013,23339
Mott St & Prince St,2014,38552
Mott St & Prince St,2015,38699
Mott St & Prince St,2016,41081
Murray St & West St,2013,11936
Murray St & West St,2014,18576
Murray St & West St,2015,20713
Murray St & West St,2016,20049
Myrtle Ave & Lewis Ave,2015,2182
Myrtle Ave & Lewis Ave,2016,6453
Myrtle Ave & Marcy Ave,2015,1214
Myrtle Ave & Marcy Ave,2016,3022
Myrtle Ave & St Edwards St,2013,2002
Myrtle Ave & St Edwards St,2014,3330
Myrtle Ave & St Edwards St,2015,4309
Myrtle Ave & St Edwards St,2016,4124
N 11 St & Wythe Ave,2015,3945
N 11 St & Wythe Ave,2016,7514
N 12 St & Bedford Ave,2015,4091
N 12 St & Bedford Ave,2016,8321
N 15 St & Wythe Ave,2015,1047
N 15 St & Wythe Ave,2016,3154
N 6 St & Bedford Ave,2015,9098
N 6 St & Bedford Ave,2016,23220
N 8 St & Driggs Ave,2015,9222
N 8 St & Driggs Ave,2016,20617
N Henry St & Richardson St,2015,3035
N Henry St & Richardson St,2016,1990
NYCBS Depot - FAR,2016,3
NYCBS Depot - PIT,2016,17
NYCBS Depot - SSP,2015,15
NYCBS Depot - SSP,2016,487
NYCBS Depot - STY,2016,107
Nassau Ave & Newell St,2016,5626
Nassau Ave & Russell St,2015,5168
Nassau Ave & Russell St,2016,10555
Nassau St & Navy St,2013,2420
Nassau St & Navy St,2014,3944
Nassau St & Navy St,2015,4958
Nassau St & Navy St,2016,5247
Norfolk St & Broome St,2013,12614
Norfolk St & Broome St,2014,18993
Norfolk St & Broome St,2015,21843
Norfolk St & Broome St,2016,20426
Norman Ave & Leonard St,2015,2891
Norman Ave & Leonard St,2016,5874
Nostrand Ave & Myrtle Ave,2015,670
Nostrand Ave & Myrtle Ave,2016,1822
Old Fulton St,2013,8308
Old Fulton St,2014,13106
Old Fulton St,2015,19412
Old Fulton St,2016,18824
Old Slip & Front St,2013,8603
Old Slip & Front St,2014,12213
Old Slip & Front St,2015,14166
Old Slip & Front St,2016,13592
PABT Valet,2015,4437
PABT Valet,2016,2477
Pacific St & Nevins St,2016,355
Park Ave & Marcus Garvey Blvd,2015,519
Park Ave & Marcus Garvey Blvd,2016,1630
Park Ave & St Edwards St,2013,1116
Park Ave & St Edwards St,2014,1815
Park Ave & St Edwards St,2015,1858
Park Ave & St Edwards St,2016,1866
Park Pl & Church St,2013,14931
Park Pl & Church St,2014,18624
Pearl St & Anchorage Pl,2013,6714
Pearl St & Anchorage Pl,2014,9339
Pearl St & Anchorage Pl,2015,10166
Pearl St & Anchorage Pl,2016,10033
Pearl St & Hanover Square,2013,12716
Pearl St & Hanover Square,2014,18285
Pearl St & Hanover Square,2015,20999
Pearl St & Hanover Square,2016,17038
Peck Slip & Front St,2015,26452
Peck Slip & Front St,2016,26253
Peck Slip & Front Street,2014,9275
Penn Station Valet,2015,16467
Penn Station Valet,2016,44185
Perry St & Bleecker St,2013,14052
Perry St & Bleecker St,2014,22529
Perry St & Bleecker St,2015,23931
Perry St & Bleecker St,2016,20508
Pershing Square N,2013,50340
Pershing Square N,2014,6353
Pershing Square North,2014,29476
Pershing Square North,2015,104813
Pershing Square North,2016,111892
Pershing Square S,2013,28927
Pershing Square S,2014,3058
Pershing Square South,2014,10702
Pershing Square South,2015,50675
Pershing Square South,2016,33357
Pier 40 - Hudson River Park,2016,21325
Pike St & E Broadway,2013,7963
Pike St & E Broadway,2014,18306
Pike St & E Broadway,2015,20924
Pike St & E Broadway,2016,18211
Pike St & Monroe St,2013,6143
Pike St & Monroe St,2014,10520
Pike St & Monroe St,2015,11578
Pike St & Monroe St,2016,9578
Pioneer St & Richards St,2016,126
Pioneer St & Van Brunt St,2016,374
Pitt St & Stanton St,2013,4214
Pitt St & Stanton St,2014,6758
Pitt St & Stanton St,2015,7481
Pitt St & Stanton St,2016,6536
Plaza St West & Flatbush Ave,2016,1669
President St & Henry St,2016,739
Prospect Park West & 8 St,2016,1285
Prospect Pl & 6 Ave,2016,1293
Pulaski St & Marcus Garvey Blvd,2015,522
Pulaski St & Marcus Garvey Blvd,2016,1397
Putnam Ave & Nostrand Ave,2015,855
Putnam Ave & Nostrand Ave,2016,2040
Putnam Ave & Throop Ave,2015,1382
Putnam Ave & Throop Ave,2016,2753
Queens Plaza North & Crescent St,2015,5725
Queens Plaza North & Crescent St,2016,13672
Railroad Ave & Kay Ave,2013,500
Railroad Ave & Kay Ave,2014,843
Railroad Ave & Kay Ave,2015,612
Railroad Ave & Kay Ave,2016,455
Reade St & Broadway,2013,12021
Reade St & Broadway,2014,18880
Reade St & Broadway,2015,20263
Reade St & Broadway,2016,17535
Reed St & Van Brunt St,2016,1011
Richards St & Delavan St,2016,241
Richardson St & N Henry St,2016,540
Riverside Blvd & W 67 St,2015,4375
Riverside Blvd & W 67 St,2016,22002
Riverside Dr & W 104 St,2016,2373
Riverside Dr & W 72 St,2015,4840
Riverside Dr & W 72 St,2016,16349
Riverside Dr & W 78 St,2015,5280
Riverside Dr & W 78 St,2016,14218
Riverside Dr & W 82 St,2015,6652
Riverside Dr & W 82 St,2016,16659
Riverside Dr & W 91 St,2016,2407
Rivington St & Chrystie St,2013,13269
Rivington St & Chrystie St,2014,20759
Rivington St & Chrystie St,2015,21510
Rivington St & Chrystie St,2016,23529
Rivington St & Ridge St,2013,8941
Rivington St & Ridge St,2014,15325
Rivington St & Ridge St,2015,12986
Rivington St & Ridge St,2016,13548
Roebling St & N 4 St,2015,1962
Roebling St & N 4 St,2016,6139
S 3 St & Bedford Ave,2013,5074
S 3 St & Bedford Ave,2014,7193
S 3 St & Bedford Ave,2015,9298
S 3 St & Bedford Ave,2016,12681
S 4 St & Rodney St,2015,1066
S 4 St & Rodney St,2016,4785
S 4 St & Wythe Ave,2013,4528
S 4 St & Wythe Ave,2014,7591
S 4 St & Wythe Ave,2015,10560
S 4 St & Wythe Ave,2016,16196
S 5 Pl & S 4 St,2013,11002
S 5 Pl & S 4 St,2014,19405
S 5 Pl & S 4 St,2015,26643
S 5 Pl & S 4 St,2016,24934
S Portland Ave & Hanson Pl,2013,3041
S Portland Ave & Hanson Pl,2014,5438
S Portland Ave & Hanson Pl,2015,5829
S Portland Ave & Hanson Pl,2016,5388
SSP Tech Workshop,2016,8
Sands St & Gold St,2013,2330
Sands St & Gold St,2014,1362
Sands St & Navy St,2014,1010
Sands St & Navy St,2015,1628
Sands St & Navy St,2016,2498
Schermerhorn St & Court St,2015,15
Schermerhorn St & Court St,2016,10975
Scholes St & Manhattan Ave,2015,1658
Scholes St & Manhattan Ave,2016,4218
Shevchenko Pl & E 6 St,2013,13180
Shevchenko Pl & E 6 St,2014,6147
Shevchenko Pl & E 7 St,2014,24014
Shevchenko Pl & E 7 St,2015,31209
Shevchenko Pl & E 7 St,2016,21777
Smith St & 3 St,2016,592
Smith St & 9 St,2016,785
Soissons Landing,2015,2380
Soissons Landing,2016,5850
South End Ave & Liberty St,2013,19303
South End Ave & Liberty St,2014,45461
South End Ave & Liberty St,2015,49301
South End Ave & Liberty St,2016,56395
South St & Gouverneur Ln,2013,14232
South St & Gouverneur Ln,2014,21048
South St & Gouverneur Ln,2015,24323
South St & Gouverneur Ln,2016,24962
South St & Whitehall St,2013,9931
South St & Whitehall St,2014,17011
South St & Whitehall St,2015,20655
South St & Whitehall St,2016,19293
Spruce St & Nassau St,2013,12466
Spruce St & Nassau St,2014,17567
Spruce St & Nassau St,2015,19309
Spruce St & Nassau St,2016,17048
St James Pl & Oliver St,2013,9626
St James Pl & Oliver St,2014,15256
St James Pl & Oliver St,2015,16639
St James Pl & Oliver St,2016,14921
St James Pl & Pearl St,2013,6620
St James Pl & Pearl St,2014,9771
St James Pl & Pearl St,2015,9883
St James Pl & Pearl St,2016,8711
St Marks Pl & 1 Ave,2013,16590
St Marks Pl & 1 Ave,2014,27898
St Marks Pl & 1 Ave,2015,33542
St Marks Pl & 1 Ave,2016,25284
St Marks Pl & 2 Ave,2013,21360
St Marks Pl & 2 Ave,2014,39263
St Marks Pl & 2 Ave,2015,43164
St Marks Pl & 2 Ave,2016,40695
Stagg St & Union Ave,2015,2169
Stagg St & Union Ave,2016,6687
Stanton St & Chrystie St,2013,14480
Stanton St & Chrystie St,2014,26442
Stanton St & Chrystie St,2015,29233
Stanton St & Chrystie St,2016,32015
Stanton St & Mangin St,2013,6581
Stanton St & Mangin St,2014,12366
Stanton St & Mangin St,2015,13359
Stanton St & Mangin St,2016,11107
State St,2013,13436
State St,2014,2895
State St & Smith St,2013,9710
State St & Smith St,2014,15101
State St & Smith St,2015,15726
State St & Smith St,2016,13668
Suffolk St & Stanton St,2013,18965
Suffolk St & Stanton St,2014,31539
Suffolk St & Stanton St,2015,35854
Suffolk St & Stanton St,2016,35650
Sullivan St & Washington Sq,2013,19977
Sullivan St & Washington Sq,2014,31332
Sullivan St & Washington Sq,2015,35617
Sullivan St & Washington Sq,2016,29757
Throop Ave & Myrtle Ave,2015,557
Throop Ave & Myrtle Ave,2016,1379
Tompkins Ave & Hopkins St,2015,988
Tompkins Ave & Hopkins St,2016,2981
Union Ave & Jackson St,2015,2187
Union Ave & Jackson St,2016,4768
Union Ave & N 12 St,2015,850
Union Ave & N 12 St,2016,9317
Union Ave & Wallabout St,2015,864
Union Ave & Wallabout St,2016,2111
Union St & 4 Ave,2016,1363
University Pl & E 14 St,2013,36571
University Pl & E 14 St,2014,60072
University Pl & E 14 St,2015,59341
University Pl & E 14 St,2016,49095
University Pl & E 8 St,2016,26185
Van Brunt St & Wolcott St,2016,713
Vernon Blvd & 50 Ave,2015,6437
Vernon Blvd & 50 Ave,2016,15572
Verona Pl & Fulton St,2016,1634
Vesey Pl & River Terrace,2013,30947
Vesey Pl & River Terrace,2014,53028
Vesey Pl & River Terrace,2015,65630
Vesey Pl & River Terrace,2016,52698
W 100 St & Broadway,2016,3183
